,objectid,province_territory,project_name,total_project_capacity_mw,turbine_identifier,turbine_number_in_project,turbine_rated_capacity_k_w,rotor_diameter_m,hub_height_m,manufacturer,model,commissioning_date,latitude,longitude,notes,num_turbines_in_project,end_commission_date,datetime
0,1,Alberta,Optimist Wind Energy,0.9,OWE1,1/2,150.0,23.0,30.0,Bonus,AN 150/30,1993,49.525354,-114.054796,,2,1993,1993-01-01
1,2,Alberta,Castle River Wind Farm,44.0,CRW1,1/60,600.0,44.0,40.0,Vestas,V44/600,1997,49.5126406422048,-114.035711741286,,60,1997,1997-01-01
2,3,Alberta,Waterton Wind Turbines,3.78,WWT1,1/6,600.0,44.0,50.0,Vestas,V44/600,1998,49.2330687371414,-113.654899041571,,6,1998,1998-01-01
3,4,Alberta,Waterton Wind Turbines,3.78,WWT2,2/6,600.0,44.0,50.0,Vestas,V44/600,1998,49.2330343842084,-113.630213392164,,6,1998,1998-01-01
4,5,Alberta,Waterton Wind Turbines,3.78,WWT3,3/6,600.0,44.0,50.0,Vestas,V44/600,1998,49.2175471922324,-113.680160622281,,6,1998,1998-01-01
5,6,Alberta,Waterton Wind Turbines,3.78,WWT4,4/6,660.0,47.0,50.0,Vestas,V47/660,2000,49.2177254222235,-113.657905842274,,6,2000,2000-01-01
6,7,Alberta,Cowley North,19.5,CON1,1/15,1300.0,60.0,46.0,Nordex,N60/1300,2001,49.5687585769995,-114.110351893935,,15,2001,2001-01-01
7,8,Alberta,Cowley North,19.5,CON2,2/15,1300.0,60.0,46.0,Nordex,N60/1300,2001,49.56787880246,-114.109682456433,,15,2001,2001-01-01
8,9,Alberta,Cowley North,19.5,CON3,3/15,1300.0,60.0,46.0,Nordex,N60/1300,2001,49.5669590502259,-114.110309019836,,15,2001,2001-01-01
9,10,Alberta,Cowley North,19.5,CON4,4/15,1300.0,60.0,46.0,Nordex,N60/1300,2001,49.5659731714606,-114.110513350773,,15,2001,2001-01-01
10,11,Alberta,Cowley North,19.5,CON5,5/15,1300.0,60.0,46.0,Nordex,N60/1300,2001,49.5649545057313,-114.110403738996,,15,2001,2001-01-01
11,12,Alberta,Cowley North,19.5,CON6,6/15,1300.0,60.0,46.0,Nordex,N60/1300,2001,49.563936622438,-114.110089240982,,15,2001,2001-01-01
12,13,Alberta,Cowley North,19.5,CON7,7/15,1300.0,60.0,46.0,Nordex,N60/1300,2001,49.563161101426,-114.109223252058,,15,2001,2001-01-01
13,14,Alberta,Cowley North,19.5,CON8,8/15,1300.0,60.0,46.0,Nordex,N60/1300,2001,49.5623602316361,-114.108317002454,,15,2001,2001-01-01
